question_id,question,options,answer,answer_index,cot_content,category,src,academic_background_prefix
8058,"What is the determinant of matrix [[0, 1, 2], [7, 8, 3], [6, 5, 4]]?",['0' '24' '-12' '36' '-48' '72' '-60' '-24' '-36' '60'],I,8,,math,theoremQA-Math,I'm a mathematics researcher with a PhD from Stanford who has dedicated over a decade to exploring advanced number theory.
7952,Six 6-sided dice are rolled. What is the probability that three of the dice show prime numbers and the rest show composite numbers?,"['\\frac{5}{55}' '\\frac{5}{54}' '\\frac{125}{7776}' '\\frac{3}{18}'
 '\\frac{125}{2916}' '\\frac{5}{36}' '\\frac{5}{16}' '\\frac{10}{54}'
 '\\frac{1}{6}' '\\frac{125}{3888}']",B,1,,math,ori_mmlu-high_school_mathematics,I'm a mathematician with a PhD from Stanford who has dedicated my career to exploring the complexities of number theory.
7999,"Let $A$ and $B$ be independent events with $P(A)=$ 0.7 and $P(B)=0.2$. Compute $P(A \cap B)$.
",['0.28' '0.9' '0.7' '0.1' '0.56' '0.04' ' 0.14' '0.5' '0.2' '0.35'],G,6,,math,scibench-stat,I'm a mathematician with a PhD from Princeton who has dedicated my career to unraveling the complexities of abstract algebra.
8324,"Find the work done by a force $\mathbf{F}=8 \mathbf{i}-6 \mathbf{j}+9 \mathbf{k}$ that moves an object from the point $(0,10,8)$ to the point $(6,12,20)$ along a straight line. The distance is measured in meters and the force in newtons.","[' 144 $\\mathrm{J}$' '172 J' '180 $\\mathrm{J}$' '168 J' '132 J'
 '160 $\\mathrm{J}$' '120 $\\mathrm{J}$' '156 J' '200 J' '210 J']",A,0,,math,scibench-calculus,I'm a mathematician with a PhD from Stanford who has dedicated my career to exploring the intricacies of number theory.
8269,For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?,"['For 3, 5, 7, and 11 only' 'For 8, 9, 10, and 11 only'
 'For 4, 6, 8, and 10 only' 'For 6, 7, 8, and 9 only'
 'For 3, 4, 5, and 6 only' 'For 3, 5, 7, 9, and 11 only'
 'For 4, 5, 6, and 8 only' 'For all integers n such that 3 <= n <= 11'
 'For no such integer n' 'For 5, 6, 7, 8, and 9 only']",A,0,,math,ori_mmlu-college_mathematics,I'm a mathematician with a doctorate from Princeton who's dedicated my career to unraveling the complexities of number theory.
8474,"A six-sided die (whose faces are numbered 1 through 6, as usual) is known to be counterfeit: The probability of rolling any even number is twice the probability of rolling any odd number. What is the probability that if this die is thrown twice, the first roll will be a 5 and the second roll will be a 6?",['1/27' '2/81' '1/9' '1/18' '2/9' '3/81' '2/27' '1/81' '3/27' '2/18'],B,1,,math,ori_mmlu-college_mathematics,I'm a mathematician with a PhD from Princeton who has dedicated the last decade to exploring the intricacies of number theory.
8992,Solve 18.5 dol over m gal = 3.60 dol over 7.5 gal. Round to the nearest hundredth if necessary.,"['45.67' '28.14' '36.99' '32.54' '8.86' '38.44' '40.88' '33.21' '42.25'
 '50.32']",F,5,,math,ori_mmlu-elementary_mathematics,I'm a mathematics PhD from Stanford who's dedicated my career to exploring the intricate patterns of number theory and its applications.
8446,"A talk show host recently reported that in response to his on-air question, 82% of the more than 2500 e-mail messages received through his publicized address supported the death penalty for anyone convicted of selling drugs to children. What does this show?","['The survey is biased because it only includes listeners who have access to email.'
 'The survey would have been more meaningful if he had used a control group.'
 'The survey is accurate as it includes a large number of responses.'
 'The survey would have been more meaningful if he had picked a random sample of the 2500 listeners who responded.'
 ""The survey is valid because it represents the opinion of the show's listeners.""
 'The survey would have been more meaningful if he had included listeners who disagreed with his viewpoint.'
 'The survey is meaningless because of voluntary response bias.'
 ""The survey shows that the majority of the host's listeners support the death penalty for drug dealers.""]",G,6,,math,ori_mmlu-high_school_statistics,I'm a mathematics researcher with a PhD from Stanford who's dedicated my career to advancing the fields of algebraic geometry and number theory.
8215,"Let X_1, X_2,... be independent variables each taking values +1 or -1 with probabilities 1/2 and 1/2. It is know that $\sqrt{3/n^3}*\sum_{k=1}^n k*X_k$ converges in distribution normal distribution N(a,b) as n goes to infinity. Here a is the expectation and b is the variance. What are the values of a and b? Return the answers as a list. For example, if a=2, b=100, return [2,100].","['[2, 0]' '[0, 1]' '[2, 1]' '[1, 1]' '[1, 0]' '[0, 0]' '[0, 1/2]' '[1, 2]'
 '[0, 2]' '[0, 3]']",B,1,,math,theoremQA-Math,I'm a mathematician with a PhD from Stanford who has dedicated my career to exploring the intricate relationships within abstract algebra.
7763,The product of two of the four roots of the quartic equation x^4 - 18x^3 +kx2 + 200x - 1984 = 0 is -32. Determine the value of k.,['150' '45' '86' '110' '72' '120' '103' '98' '54' '64'],C,2,,math,theoremQA-Math,I'm a mathematician with a PhD from Stanford who has dedicated my career to exploring the intricate beauty of number theory.
